date,channel,campaign,spend,impressions,clicks,conversions
2025-03-13,google_ads,brand_search,87.62,660,44,1
2025-03-13,google_ads,competitor_kw,207.19,2070,90,2
2025-03-13,google_ads,shopping_feed,189.94,2618,77,3
2025-03-13,meta_ads,lookalike_broad,205.85,4888,188,3
2025-03-13,meta_ads,retargeting_web,168.56,4914,126,2
2025-03-13,meta_ads,video_awareness,199.69,4508,196,6
2025-03-13,meta_ads,lead_gen_form,115.11,1540,77,1
2025-03-13,linkedin,decision_makers,113.22,665,19,0
2025-03-13,linkedin,saas_founders,105.0,294,14,0
2025-03-13,linkedin,enterprise_it,43.22,297,9,0
2025-03-13,organic,organic_traffic,0.0,2681,228,9
2025-03-13,email,welcome_drip,14.66,2257,61,3
2025-03-13,email,reactivation,14.38,1386,63,3
2025-03-13,email,weekly_newsletter,18.97,1872,104,5
2025-03-13,email,product_update,11.48,2407,83,6
2025-03-14,google_ads,competitor_kw,234.53,7952,284,9
2025-03-14,google_ads,retargeting_display,257.4,6253,169,5
2025-03-14,google_ads,shopping_feed,93.98,780,39,0
2025-03-14,meta_ads,lookalike_broad,146.69,4248,118,2
2025-03-14,meta_ads,retargeting_web,171.87,2185,95,1
2025-03-14,meta_ads,video_awareness,141.49,4284,119,4
2025-03-14,meta_ads,lead_gen_form,103.42,1024,64,1
2025-03-14,linkedin,decision_makers,103.27,570,30,0
2025-03-14,linkedin,enterprise_it,113.21,896,32,0
2025-03-14,organic,organic_traffic,0.0,1165,281,18
2025-03-14,email,reactivation,18.68,2448,153,8
2025-03-14,email,weekly_newsletter,8.21,1820,52,2
2025-03-15,google_ads,brand_search,51.75,868,28,0
2025-03-15,google_ads,competitor_kw,70.05,850,34,1
2025-03-15,google_ads,retargeting_display,80.44,1420,71,2
2025-03-15,google_ads,shopping_feed,63.68,1640,41,1
2025-03-15,meta_ads,lookalike_broad,80.4,3944,116,1
2025-03-15,meta_ads,retargeting_web,53.75,1008,36,1
2025-03-15,meta_ads,video_awareness,32.03,754,26,0
2025-03-15,meta_ads,lead_gen_form,68.27,1785,51,1
2025-03-15,linkedin,decision_makers,21.66,116,4,0
2025-03-15,linkedin,saas_founders,42.12,168,6,0
2025-03-15,linkedin,enterprise_it,29.58,136,4,0
2025-03-15,organic,organic_traffic,0.0,843,758,18
2025-03-15,email,reactivation,4.12,345,15,0
2025-03-15,email,weekly_newsletter,2.33,220,10,0
2025-03-15,email,product_update,6.75,825,55,2
2025-03-16,google_ads,brand_search,47.31,920,23,1
2025-03-16,google_ads,competitor_kw,69.06,2590,70,1
2025-03-16,google_ads,retargeting_display,98.32,1242,54,2
2025-03-16,google_ads,shopping_feed,35.31,368,16,0
2025-03-16,meta_ads,lookalike_broad,38.96,1628,74,2
2025-03-16,meta_ads,retargeting_web,44.23,2144,67,2
2025-03-16,meta_ads,video_awareness,69.23,2886,78,1
2025-03-16,meta_ads,lead_gen_form,75.54,1088,68,2
2025-03-16,linkedin,decision_makers,21.69,140,5,0
2025-03-16,linkedin,saas_founders,49.59,147,7,0
2025-03-16,linkedin,enterprise_it,39.58,136,8,0
2025-03-16,organic,organic_traffic,0.0,1310,535,8
