user_id,event_type,event_date,utm_source,revenue
user_1001,signup,2025-03-13,google_ads,0.0
user_1001,activation,2025-03-14,google_ads,0.0
user_1001,purchase,2025-03-16,google_ads,90.9
user_1001,purchase,2025-05-01,google_ads,100.18
user_1002,signup,2025-03-13,organic,0.0
user_1003,signup,2025-03-13,meta_ads,0.0
user_1003,activation,2025-03-13,meta_ads,0.0
user_1003,churn,2025-05-09,meta_ads,0.0
user_1004,signup,2025-03-13,meta_ads,0.0
user_1004,activation,2025-03-15,meta_ads,0.0
user_1004,purchase,2025-03-22,meta_ads,70.85
user_1005,signup,2025-03-14,google_ads,0.0
user_1005,activation,2025-03-16,google_ads,0.0
user_1006,signup,2025-03-14,google_ads,0.0
user_1006,activation,2025-03-16,google_ads,0.0
user_1007,signup,2025-03-14,organic,0.0
user_1007,activation,2025-03-17,organic,0.0
user_1008,signup,2025-03-14,meta_ads,0.0
user_1008,activation,2025-03-16,meta_ads,0.0
user_1009,signup,2025-03-14,google_ads,0.0
user_1009,activation,2025-03-15,google_ads,0.0
user_1009,purchase,2025-03-22,google_ads,54.3
user_1009,churn,2025-06-04,google_ads,0.0
user_1010,signup,2025-03-14,google_ads,0.0
user_1010,activation,2025-03-16,google_ads,0.0
user_1010,purchase,2025-03-26,google_ads,108.87
user_1011,signup,2025-03-14,google_ads,0.0
user_1011,activation,2025-03-16,google_ads,0.0
user_1012,signup,2025-03-14,linkedin,0.0
user_1012,activation,2025-03-15,linkedin,0.0
user_1012,churn,2025-04-16,linkedin,0.0
user_1013,signup,2025-03-14,organic,0.0
user_1013,activation,2025-03-15,organic,0.0
user_1014,signup,2025-03-15,meta_ads,0.0
user_1014,activation,2025-03-18,meta_ads,0.0
user_1015,signup,2025-03-15,organic,0.0
user_1015,activation,2025-03-15,organic,0.0
user_1016,signup,2025-03-15,google_ads,0.0
user_1016,activation,2025-03-15,google_ads,0.0
user_1016,purchase,2025-03-18,google_ads,70.84
user_1016,purchase,2025-04-07,google_ads,97.08
user_1017,signup,2025-03-15,linkedin,0.0
user_1017,activation,2025-03-16,linkedin,0.0
user_1017,purchase,2025-03-19,linkedin,196.68
user_1017,purchase,2025-04-25,linkedin,271.16
user_1018,signup,2025-03-16,google_ads,0.0
user_1018,activation,2025-03-16,google_ads,0.0
user_1018,purchase,2025-03-24,google_ads,103.44
user_1018,churn,2025-05-18,google_ads,0.0
user_1019,signup,2025-03-16,organic,0.0
user_1019,activation,2025-03-17,organic,0.0
user_1020,signup,2025-03-16,organic,0.0
user_1021,signup,2025-03-16,organic,0.0
user_1021,activation,2025-03-19,organic,0.0
user_1021,purchase,2025-03-23,organic,69.13
user_1021,churn,2025-04-19,organic,0.0
user_1022,signup,2025-03-16,email,0.0
user_1022,churn,2025-04-30,email,0.0
user_1023,signup,2025-03-16,google_ads,0.0
user_1023,activation,2025-03-17,google_ads,0.0
user_1024,signup,2025-03-16,linkedin,0.0
